City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,sao filipe,10,CV,1647875386,71,14.8961,-24.4956,71.13,11.86
84,ucluelet,100,CA,1647875386,93,48.9329,-125.5528,45.09,1.99
85,east london,0,ZA,1647875386,70,-33.0153,27.9116,77.07,16.37
86,mount gambier,75,AU,1647875309,94,-37.8333,140.7667,55.31,0.0
87,bull savanna,76,JM,1647875388,60,17.8868,-77.5902,80.06,6.13
88,tamiahua,88,MX,1647875388,75,21.2667,-97.45,75.24,3.47
89,cooma,41,AU,1647875389,100,-36.2333,149.1333,49.77,0.0
90,mandalgovi,98,MN,1647875389,48,45.7625,106.2708,21.27,6.15
91,bara,98,NG,1647875390,4,10.3744,10.7288,105.1,4.76
92,nyagan,100,RU,1647875226,93,62.1406,65.3936,19.33,12.53
93,ponta do sol,58,PT,1647875390,64,32.6667,-17.1,67.06,8.16
94,saint-augustin,100,CA,1647875391,98,51.226,-58.6502,30.18,17.92
95,tuktoyaktuk,99,CA,1647875392,100,69.4541,-133.0374,-24.56,4.47
96,bengkulu,72,ID,1647875392,83,-3.8004,102.2655,77.38,3.06
97,avarua,20,CK,1647875393,78,-21.2078,-159.775,80.65,6.91
98,progreso,3,MX,1647875394,64,21.2833,-89.6667,82.11,11.14
99,sitka,100,US,1647875394,75,57.0531,-135.33,42.69,14.97
100,moose factory,16,CA,1647875394,76,51.2585,-80.6094,14.63,11.88
101,airai,100,TL,1647875395,90,-8.9266,125.4092,60.33,1.28
102,hobart,100,AU,1647875317,89,-42.8794,147.3294,63.27,0.0
103,nanortalik,1,GL,1647875396,68,60.1432,-45.2371,24.06,6.44
104,klaksvik,79,FO,1647875396,85,62.2266,-6.589,45.52,18.16
105,bhatkal,71,IN,1647875397,76,13.9667,74.5667,81.32,4.03
106,omsukchan,100,RU,1647875398,96,62.5333,155.8,23.99,6.35
107,port hedland,99,AU,1647875398,79,-20.3167,118.5667,86.05,6.91
108,anchorage,0,US,1647875398,77,61.2181,-149.9003,23.65,8.01
109,tacotalpa,23,MX,1647875401,79,17.6,-92.8167,78.85,1.9
110,maun,47,BW,1647875404,35,-19.9833,23.4167,84.49,9.35
111,sarh,50,TD,1647875404,5,9.1429,18.3923,106.11,4.27
112,butaritari,77,KI,1647875405,79,3.0707,172.7902,80.94,16.04
113,sangmelima,89,CM,1647875405,45,2.9333,11.9833,84.9,1.63
114,cabo san lucas,0,MX,1647875406,48,22.8909,-109.9124,71.51,5.75
115,praia da vitoria,98,PT,1647875407,61,38.7333,-27.0667,60.76,18.23
116,nome,0,US,1647875407,84,64.5011,-165.4064,-3.93,0.0
117,sur,0,OM,1647875408,45,22.5667,59.5289,78.69,9.28
118,mananara,81,MG,1647875408,79,-16.1667,49.7667,76.98,7.99
119,deputatskiy,100,RU,1647875408,100,69.3,139.9,-14.46,0.76
120,cordoba,0,AR,1647875409,61,-31.4135,-64.1811,70.75,11.5
121,kathmandu,75,NP,1647875199,49,27.7167,85.3167,70.02,4.61
122,manokwari,95,ID,1647875411,79,-0.8667,134.0833,78.66,4.32
123,sylva,92,RU,1647875412,79,58.0348,56.7635,31.37,12.35
124,upernavik,41,GL,1647875412,73,72.7868,-56.1549,-12.51,2.98
125,aubenas,98,FR,1647875414,46,44.6201,4.3899,60.46,11.05
126,talnakh,34,RU,1647875415,93,69.4865,88.3972,-3.8,3.6
127,arraial do cabo,100,BR,1647875415,83,-22.9661,-42.0278,73.26,12.66
128,champerico,0,GT,1647875416,58,14.3,-91.9167,83.53,1.99
129,ostrovnoy,100,RU,1647875417,75,68.0531,39.5131,35.6,22.77
130,poum,100,NC,1647875417,77,-20.2333,164.0167,80.08,17.58
131,saldanha,37,ZA,1647875418,80,-33.0117,17.9442,68.85,20.62
132,nuuk,20,GL,1647875152,67,64.1835,-51.7216,12.81,17.27
133,auki,100,SB,1647875419,85,-8.7676,160.7034,76.91,3.33
134,liku,100,ID,1647875419,94,-0.7275,119.8922,76.08,1.45
135,vestmannaeyjar,75,IS,1647875420,87,63.4427,-20.2734,41.99,32.21
136,nemuro,5,JP,1647875252,75,43.3236,145.575,25.45,11.79
137,sibolga,58,ID,1647875421,85,1.7427,98.7792,77.76,2.66
138,burnie,100,AU,1647875422,84,-41.0667,145.9167,63.91,0.69
139,wuda,14,CN,1647875422,22,39.4994,106.7117,43.61,7.38
140,provideniya,25,RU,1647875423,84,64.3833,-173.3,5.4,2.48
141,rovaniemi,0,FI,1647875423,34,66.5,25.7167,47.61,10.36
142,kodiak,0,US,1647875402,64,57.79,-152.4072,35.11,20.71
143,mahebourg,49,MU,1647875424,83,-20.4081,57.7,80.26,6.87
144,mantua,0,IT,1647875426,29,45.1667,10.7833,58.33,1.01
145,boras,0,SE,1647875427,37,57.721,12.9401,55.89,7.45
146,leningradskiy,99,RU,1647875427,87,69.3833,178.4167,-1.01,4.92
147,cherskiy,100,RU,1647875428,70,68.75,161.3,18.63,7.0
148,negombo,1,LK,1647875429,84,7.2083,79.8358,81.34,10.22
149,pevek,100,RU,1647875430,82,69.7008,170.3133,5.81,5.55
150,kemi,0,FI,1647875430,52,65.8596,24.8228,42.57,8.05
151,makasar,20,ID,1647875252,100,-5.14,119.4221,78.85,1.14
152,shimoda,100,JP,1647875433,66,34.6667,138.95,51.69,8.41
153,thinadhoo,100,MV,1647875434,73,0.5333,72.9333,84.27,16.71
154,axim,75,GH,1647875435,68,4.8699,-2.2405,85.44,9.89
155,saint-philippe,94,RE,1647875435,86,-21.3585,55.7679,80.19,11.45
156,wewak,100,PG,1647875438,75,-3.5534,143.6268,80.22,6.76
157,kaitangata,66,NZ,1647875438,83,-46.2817,169.8464,59.94,13.67
158,roebourne,99,AU,1647875439,61,-20.7833,117.1333,88.05,19.15
159,port elizabeth,0,ZA,1647875440,81,-33.918,25.5701,77.31,5.01
160,clyde river,100,CA,1647875440,93,70.4692,-68.5914,-9.47,4.85
161,shenjiamen,100,CN,1647875441,88,29.9576,122.298,50.41,27.07
162,mahon,75,ES,1647875442,72,39.8885,4.2658,57.76,23.02
163,beringovskiy,100,RU,1647875442,95,63.05,179.3167,22.3,10.76
164,cabinda,100,AO,1647875443,74,-5.55,12.2,82.76,8.77
165,mweka,100,CD,1647875444,85,-4.85,21.5667,75.25,1.52
166,wajima,100,JP,1647875164,62,37.4,136.9,40.64,8.08
167,onokhino,100,RU,1647875224,97,56.925,65.5394,30.58,2.55
168,porto novo,54,BJ,1647875445,56,6.4965,2.6036,90.32,13.15
169,ligayan,100,PH,1647875445,78,4.6533,119.4706,81.23,9.01
170,esna,0,EG,1647875448,11,25.2934,32.554,84.04,16.44
171,hithadhoo,75,MV,1647875448,73,-0.6,73.0833,83.91,16.96
172,chokurdakh,70,RU,1647875449,85,70.6333,147.9167,-9.09,9.66
173,margate,62,GB,1647875450,61,51.3813,1.3862,59.11,3.0
174,vila,82,PT,1647875450,57,42.0304,-8.1588,53.71,6.8
175,puerto del rosario,20,ES,1647875450,60,28.5004,-13.8627,67.75,16.11
176,batticaloa,35,LK,1647875451,83,7.7102,81.6924,79.18,4.85
177,teguise,40,ES,1647875452,43,29.0605,-13.564,68.22,16.11
178,guerrero negro,97,MX,1647875453,69,27.9769,-114.0611,60.06,14.65
179,pouebo,100,NC,1647875453,85,-20.4,164.5667,75.85,3.42
180,longyearbyen,75,SJ,1647875454,68,78.2186,15.6401,26.44,23.02
181,new norfolk,94,AU,1647875454,63,-42.7826,147.0587,62.91,1.99
182,mersing,92,MY,1647875331,82,2.4312,103.8405,79.99,4.36
183,abha,20,SA,1647875429,48,18.2164,42.5053,64.65,8.05
184,baft,29,IR,1647875456,16,29.234,56.6057,60.35,10.4
185,itarema,81,BR,1647875457,66,-2.9248,-39.9167,85.5,12.84
186,tiksi,37,RU,1647875457,96,71.6872,128.8694,-16.51,0.89
187,tagusao,95,PH,1647875458,83,9.1924,117.8141,76.96,4.12
188,marzuq,28,YE,1647875459,28,14.4,46.4667,77.38,11.21
189,imbituba,100,BR,1647875459,81,-28.24,-48.6703,67.95,4.12
190,burns lake,100,CA,1647875460,98,54.2331,-125.7533,24.57,3.58
191,bandarbeyla,4,SO,1647875461,69,9.4942,50.8122,78.51,9.57
192,penhold,58,CA,1647875462,83,52.1334,-113.8687,27.84,4.65
193,srednekolymsk,100,RU,1647875462,94,67.45,153.6833,14.59,17.72
194,ancud,100,CL,1647875463,95,-41.8697,-73.8203,58.23,5.97
195,tuatapere,51,NZ,1647875464,95,-46.1333,167.6833,51.3,4.47
196,san carlos de bariloche,75,AR,1647875465,62,-41.1456,-71.3082,53.35,14.97
197,rawah,87,IQ,1647875465,30,34.4816,41.9093,53.49,10.85
198,san quintin,32,MX,1647875466,87,30.4833,-115.95,56.62,3.36
199,san cristobal,89,VE,1647875466,70,7.7669,-72.225,73.58,5.26
200,wagga wagga,44,AU,1647875466,63,-35.1167,147.3667,66.61,6.91
201,asau,58,RO,1647875467,53,46.4333,26.4,52.72,10.63
202,caravelas,12,BR,1647875467,59,-17.7125,-39.2481,85.03,10.07
203,qaqortoq,0,GL,1647875467,48,60.7167,-46.0333,17.92,0.4
204,mar del plata,100,AR,1647875335,84,-38.0023,-57.5575,65.08,20.0
205,tabuk,46,PH,1647875437,92,17.4189,121.4443,75.09,4.07
206,xai-xai,16,MZ,1647875469,63,-25.0519,33.6442,76.73,9.82
207,aasiaat,10,GL,1647875374,78,68.7098,-52.8699,-14.13,11.25
208,kulhudhuffushi,0,MV,1647875469,71,6.6221,73.07,82.69,14.38
209,bendigo,99,AU,1647875443,53,-36.7667,144.2833,64.63,1.99
210,kamenka,96,RU,1647875470,91,51.3223,42.7678,34.07,15.84
211,farsund,100,NO,1647875472,49,58.0948,6.8047,44.94,19.42
212,mamallapuram,39,IN,1647875472,75,12.6264,80.1722,87.85,7.11
213,torbay,100,CA,1647875473,98,47.6666,-52.7314,34.29,18.41
214,vestmanna,100,FO,1647875473,87,62.1564,-7.1664,43.72,8.05
215,yellowknife,100,CA,1647875474,100,62.456,-114.3525,29.41,3.44
216,kieta,96,PG,1647875475,81,-6.2167,155.6333,79.74,1.25
217,campestre,100,BR,1647875475,72,-21.7111,-46.2464,70.03,7.07
218,watsa,51,CD,1647875476,45,3.0372,29.5355,81.99,3.76
219,tongchuan,100,CN,1647875476,85,35.0806,109.0897,45.34,1.79
220,basarabeasca,49,MD,1647875476,33,46.3311,28.9728,52.63,14.23
221,esperance,100,AU,1647875477,74,-33.8667,121.9,64.02,17.18
222,muros,44,ES,1647875477,69,42.7762,-9.0603,70.68,4.65
223,traverse city,100,US,1647875478,72,44.7631,-85.6206,40.73,4.61
224,eyl,1,SO,1647875478,69,7.9803,49.8164,78.66,8.57
225,antofagasta,59,CL,1647875478,58,-23.65,-70.4,71.22,7.92
226,adrasmon,100,TJ,1647875346,86,40.6472,69.9856,37.04,8.14
227,manggar,100,ID,1647875436,76,-2.8833,108.2667,81.34,2.15
228,honiara,100,SB,1647875452,79,-9.4333,159.95,77.79,0.63
229,tulun,99,RU,1647875482,97,54.5611,100.5792,11.82,0.45
230,udachnyy,92,RU,1647875482,100,66.4167,112.4,-6.59,2.13
231,tessalit,8,ML,1647875483,7,20.1986,1.0114,90.18,13.73
232,padang,40,ID,1647875483,82,-0.9492,100.3543,78.85,2.86
233,kholmy,48,UA,1647875484,65,51.871,32.6006,47.75,10.29
234,sakakah,35,SA,1647875484,31,29.9697,40.2064,69.69,13.82
235,gidam,76,IN,1647875485,30,18.9833,81.4,81.01,0.76
236,voh,100,NC,1647875486,90,-20.9667,164.7,74.12,4.88
237,evanston,75,US,1647875486,45,42.0411,-87.6901,61.72,17.27
238,fortuna,0,US,1647875487,100,40.5982,-124.1573,37.74,6.91
239,solwezi,41,ZM,1647875487,91,-12.1688,26.3894,70.29,4.85
240,dikson,100,RU,1647875345,100,73.5069,80.5464,-8.99,0.83
241,hambantota,7,LK,1647875488,78,6.1241,81.1185,82.0,16.22
242,evensk,100,RU,1647875488,81,61.95,159.2333,32.79,15.48
243,gat,95,IL,1647875489,36,31.61,34.7642,54.28,11.56
244,san martino buon albergo,0,IT,1647875490,24,45.4217,11.0969,59.83,2.3
245,barsi,93,IN,1647875490,12,18.2333,75.7,93.29,12.01
246,isangel,100,VU,1647875491,87,-19.55,169.2667,79.93,8.16
247,falun,0,SE,1647875491,34,60.6036,15.626,52.95,6.08
248,sabang,99,ID,1647875492,74,5.8933,95.3214,83.7,19.06
249,dongning,77,CN,1647875492,68,44.0622,131.1207,27.36,9.44
250,ukiah,0,US,1647875493,79,39.1502,-123.2078,49.64,0.0
251,la rioja,100,ES,1647875493,94,42.25,-2.5,46.18,10.67
252,magadan,100,RU,1647875494,95,59.5667,150.8,21.78,7.02
253,cartagena,0,CO,1647875494,62,10.3997,-75.5144,87.42,2.3
254,herat,100,AF,1647875495,49,34.5,62.0,53.42,14.23
255,pandan,99,PH,1647875495,90,14.0453,124.1694,79.16,8.55
256,grand gaube,29,MU,1647875497,86,-20.0064,57.6608,80.38,3.0
257,turkistan,49,KZ,1647875497,71,43.0,68.0,37.15,8.63
258,victoria,86,HK,1647875453,93,22.2855,114.1577,76.17,15.99
259,yola,8,NG,1647875402,5,9.2,12.4833,107.26,6.69
260,roswell,0,US,1647875498,41,34.0232,-84.3616,63.99,3.44
261,prince rupert,100,CA,1647875499,93,54.3161,-130.3201,42.89,4.61
262,fort nelson,98,CA,1647875499,97,58.8053,-122.7002,7.43,2.48
263,palmer,6,US,1647875500,48,42.1584,-72.3287,52.07,4.0
264,prainha,100,BR,1647875500,97,-1.8,-53.48,74.39,2.24
265,grobina,0,LV,1647875501,37,56.5352,21.1678,51.58,3.44
266,carnarvon,42,AU,1647875501,73,-24.8667,113.6333,77.07,17.27
